id	preferredName	entityType	label	country	street	street	streetNumber	addressSource	latitude	longitude	coordinatesSource	dateOfEstablishment	dateOfEstablishmentSource	dateOfTermination	dateOfTerminationSource	dateOfEvent	dateOfEventSource	sameAsName	sameAsURL	biographicalOrHistoricalInformation	biographicalOrHistoricalInformationSource	depictionName	depictionText	depictionCeator	depictionPublisher	depictionSource	depictionLicense	depictionLicenseURI
	Kaysers Konservatorium		conservatory		Uhlandstraße	Uhlandstraße	106		52.48782352446139	13.322916183727648	K4, 4145, 1931	1893									1914							
	Konservatorium des Westens		conservatory		Grolmanstraße	Grolmanstraße	27		52.50462467901266	13.323154322333854	K4, 4241, 1925, S	1889								Partnered with the Schwantzerschen Konservatorium.	1909, 1911, 1914							
	Meisterschule für Bühne und Konzert		conservatory		Leibnizstraße	Leibnizstraße	85		52.509573241230555	13.314127790415833	K4, 4242, 1934									In 1909, at the same address there is the Musik-Bildungsanstalt.	1909, 1911							
	Meisterschule für Bühne und Konzert		conservatory		Genthinerstraße	Genthinerstraße	18		52.50226741904935	13.358540471427332	Straube, III H, 1910										1914							
	Moderns Konservatorium der Musik		conservatory		Spichernstraße	Spichernstraße	14		52.49634540713438	13.33143405681826	K4, 4145, 1931										1911, 1914							
	Mohrsches Konservatorium		conservatory		Luisen-Ufer	Luisen-Ufer	22		52.50303670003719	13.415129787711415	Straube, II F, 1910	1870									1909, 1911							
	Mohrsches Konservatorium		conservatory		Eisenacher Straße	Eisenacher Straße	121		52.49960807365703	13.349569130828952	K4, 4138, 1933										1909							
	Mohrsches Konservatorium		conservatory		Prinzenstraße	Prinzenstraße	80		52.50462296689177	13.410934552292135	Straube. II F, 1910										1914							
	Mohrsches Konservatorium		conservatory		Kleiststraße	Kleiststraße	38		52.49995004982199	13.350466383527275	Straube, III H, 1910										1911, 1914							
	Mommsen-Konservatorium		conservatory		Wilmersdorferstraße	Wilmersdorferstraße	75		52.503013288102245	13.307530216899426	K4, 4242, 1925										1914							
	N. Böttchers Konservatorium für Musik		conservatory		Ludwigskirchstraße	Ludwigskirchstraße	6		52.498035789489784	13.323992219314395	K4, 4145, 1931	1880									1914							
http://d-nb.info/gnd/1097302369	Neue Akademie der Tonkunst (‘Kullak-akademie’)	organisation	conservatory		Große Friedrichstraße	Große Friedrichstraße	94		52.51900441886355	13.388579197989687	Liebenow, 1-9, 1867/ Straube, IV A, 1910	1855		1890														
	Neue Musikschule		conservatory		Vorbergstraße	Vorbergstraße	5		52.48912038063517	13.356525188228293	K4, 4138, 1933	1876									1909, 1911, 1914							
	Neues Konservatorium der Tonkunst		conservatory		Potsdamer Straße	Potsdamer Straße	13		52.50779290563311	13.372455103577945	Straube, III B, 1910			1909														
	Pädagogium für Musik		conservatory		Gleditschstraße	Gleditschstraße	35		52.492572351019945	13.355306655449876	Straube, III N, 1910									Direktor Khl. Musikdirektor Wilhelm Handwerg. See the other institute with the same name.	1909, 1911, 1914							
	Pädagogium für Musik		conservatory		Rheinstraße	Rheinstraße	5, I, II		52.47097235415143	13.33425097163139	K4, 4141, 1928									Direktion Frau Emmi Born. See the other institute with the same name.	1911, 1914							
	Prof. E. Breslaurs Berliner Konservatorium		conservatory		Bülowstraße	Bülowstraße	89		52.498333869891816	13.360796570080984	Straube, III H, 1910	1879									1911							
	Prof. E. Breslaurs Berliner Konservatorium		conservatory		Pariserstraße	Pariserstraße	5		52.496371193139254	13.32830196047367	K4, 4145, 1931	1879									1911, 1914							
	Schwantzerschen Konservatorium		conservatory		Lutherstraße 12	Lutherstraße 12	44		52.5017154834043	13.346108401163503	K4, 4138, 1933	1862								Partnered with the Konservatorium des Westens.	1909							
	Schwantzerschen Konservatorium		conservatory		Martin-Lutherstraße	Martin-Lutherstraße	13		52.500731271806316	13.345943271784316	K4, 4138, 1933	1862								Partnered with the Konservatorium des Westens.	1911, 1914							
	Schweriner Musikschule		conservatory		Marburger Straße	Marburger Straße	15		52.50273769974615	13.337125651496244	K4, 4145, 1931										1909							
	Schweriner Musikschule		conservatory		Kantstraße	Kantstraße	89		52.50655161934795	13.297718499741965	K4, 4243, 1925, S										1911							
	Veitsches Konservatorium		conservatory		Luisen-Ufer	Luisen-Ufer	43		52.4997911947628	13.413083207289473	Straube, II F, 1910										1909, 1911, 1914							
	Viktoria-Luise-Konservatorium		conservatory		Motzstraße	Motzstraße	57		52.49495576630622	13.340141182178098	K4, 4145, 1931	1906									1909, 1911							
	Viktoria-Luise-Konservatorium		conservatory		Neue Ansbacherstraße	Neue Ansbacherstraße	18		52.50318287938943	13.342475183849336	Straube, III H, 1910	1906									1914							
	von Hennigsches Konservatorium für Musik		conservatory		Alexanderstraße	Alexanderstraße	8		52.51865140288465	13.41716399523179	Straube, I A, 1910										1909, 1911, 1914							
	Wilmersdorfer Musikschule		conservatory		Bruchalerstraße	Bruchalerstraße	6		52.4796178833839	13.33091198553209	K4, 4141, 1928										1911, 1914							
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
